ID,RNA_CoExp_w_GenAge
AL2SB_HUMAN,27
AL3A1_HUMAN,16
AL3A2_HUMAN,43
AL3B1_HUMAN,30
AL3B2_HUMAN,14
AL4A1_HUMAN,37
AL5AP_HUMAN,28
AL7A1_HUMAN,46
AL8A1_HUMAN,28
AL9A1_HUMAN,44
ALAT1_HUMAN,42
ALAT2_HUMAN,35
ALBU_HUMAN,25
ALDH2_HUMAN,45
ALDOA_HUMAN,55
ALDOB_HUMAN,29
ALDOC_HUMAN,29
ALDR_HUMAN,30
ALEX_HUMAN,47
ALG11_HUMAN,11
ALG12_HUMAN,18
ALG13_HUMAN,28
ALG14_HUMAN,27
ALG1L_HUMAN,2
ALG1_HUMAN,28
ALG2_HUMAN,35
ALG3_HUMAN,28
ALG5_HUMAN,37
ALG6_HUMAN,15
ALG8_HUMAN,39
ALG9_HUMAN,9
ALKB1_HUMAN,28
ALKB2_HUMAN,33
ALKB3_HUMAN,13
ALKB4_HUMAN,41
ALKB5_HUMAN,30
ALKB6_HUMAN,13
ALKB7_HUMAN,25
ALKB8_HUMAN,35
ALKMO_HUMAN,23
ALK_HUMAN,15
ALLC_HUMAN,5
ALMS1_HUMAN,10
ALPK1_HUMAN,43
ALPK2_HUMAN,26
ALPK3_HUMAN,31
ALR_HUMAN,38
ALS2_HUMAN,20
ALS_HUMAN,23
ALX1_HUMAN,19
ALX3_HUMAN,3
ALX4_HUMAN,11
AMACR_HUMAN,11
AMBN_HUMAN,3
AMBP_HUMAN,28
AMD_HUMAN,33
AMELX_HUMAN,1
AMELY_HUMAN,
AMER1_HUMAN,36
AMER2_HUMAN,12
AMER3_HUMAN,9
AMERL_HUMAN,27
AMFR_HUMAN,51
AMGO1_HUMAN,29
AMGO2_HUMAN,35
AMGO3_HUMAN,9
AMHR2_HUMAN,7
AMMR1_HUMAN,52
AMN1_HUMAN,6
AMNLS_HUMAN,20
AMOL1_HUMAN,46
AMOL2_HUMAN,56
AMOT_HUMAN,20
AMPB_HUMAN,37
AMPD1_HUMAN,14
AMPD2_HUMAN,37
AMPD3_HUMAN,40
AMPE_HUMAN,25
AMPH_HUMAN,16
AMPL_HUMAN,50
AMPN_HUMAN,31
AMPO_HUMAN,
AMPQ_HUMAN,
AMRA1_HUMAN,30
AMRP_HUMAN,37
AMTN_HUMAN,2
AMY1_HUMAN,6
AMY2B_HUMAN,9
AMYP_HUMAN,13
AMZ1_HUMAN,3
AMZ2_HUMAN,16
